0.0	0.5	5.50.4	0.01
0.0	0.0	0.0	0.0	0.0
0.001016063603497333	0.0780167852838829	-0.30346436965384066	-0.2663515542913565	-0.0
0.002158692656559366	-0.014457856821837305	-0.30928073448869703	-0.1584515072858424	5.2
-0.0004288657350831754	-0.17796332873690165	-0.310041553363269	0.08961400954346425	5.2
-0.006578330564244422	-0.32834634205523194	-0.30504134055001714	0.3180470934065086	5.2
-0.017335492163436023	-0.49340743523853764	-0.29335759902532776	0.5728459629421326	5.200000000000001
-0.03178312794316948	-0.6569397062354052	-0.2756946803634686	0.8329299617716331	5.2
-0.05041098769803892	-0.8280498945631988	-0.25124664282314957	1.1161548513058468	5.2
-0.07235967006426405	-0.9174872336745956	-0.22168120045703432	1.2311307646780392	3.102141343305904
-0.09524177085070475	-0.9027429142191234	-0.1919424615560217	1.129698356765853	0.6984878308869042
-0.11739111316218641	-0.8711771808510217	-0.16540540076885302	1.0012812496444148	0.5015763501506356
-0.13809214460935793	-0.8560114990257984	-0.14245429194318923	0.9190608805974282	0.712754788909713
-0.15928726879797678	-0.8408661856916166	-0.12050699540869532	0.8423715800471168	0.5877443831159432
-0.18090766655742085	-0.8235045120257325	-0.09966109775569504	0.7665192475054429	0.43726008339687894
-0.20126007993150807	-0.8060383658730035	-0.08141380236317255	0.6983808405316911	0.3143623264654529
-0.2211793982825103	-0.7887421689998646	-0.06478620559814852	0.6363833096133606	0.214500172440804
-0.24066008338234843	-0.7709906818349599	-0.04965317425231207	0.5786262360834257	0.1124772766136477
-0.2596986371424725	-0.753254487436482	-0.035897779314731176	0.5256554815905371	0.023584228201873003
-0.2771972977415634	-0.6999937502314101	-0.02467892086857473	0.39932303069913794	-0.06210212211617083
-0.29568747003980733	-0.7248161154737635	-0.013757299743355706	0.4471307640306322	0.7276588336758927
-0.3131366421094314	-0.6702232927707178	-0.004095801222617957	0.32447042743375937	-0.2911356553051787
-0.3294243266445351	-0.6890776023309656	0.004129251834154479	0.365756384215794	0.5164252676633065
-0.34681209293757315	-0.6437343928676394	0.012512306860890894	0.26913174934680556	-0.32174334538901217
-0.3624914140490449	-0.6601213073536032	0.019532850821439504	0.31003165954339473	0.2595343607479914
-0.37912967952136695	-0.6175476567034136	0.026541385527922522	0.2244804011935163	-0.5310210857070343
-0.3941757528084738	-0.5844818603965533	0.0314117978575989	0.161408270165156	-0.012977359026491442
-0.40847007054523865	-0.6075496003410881	0.035998820696787365	0.22248477043901035	0.3718005055305347
-0.42330742845909397	-0.5765014307391321	0.04095009327094133	0.16694229776670624	-0.5259378816008495
-0.43786577670242055	-0.5453262702736902	0.044539118308616316	0.11307024321747466	-0.23361918307305274
-0.45109611178306885	-0.5587546856978567	0.04774311776037902	0.1569031295915851	0.10264010695316839
-0.46467899586352696	-0.5291395321416404	0.051026415972904665	0.10806581648765354	-0.5593828620674026
-0.47760039523319536	-0.5060182269766176	0.05327408309692141	0.0743610777761972	-0.2655945479065538
-0.4899803708845486	-0.48559320905343273	0.05476785384878557	0.047178815609828735	-0.08090006075536738
-0.5027760559740013	-0.5011333124172461	0.05662048064289965	0.10006768553324767	0.07131203906486949
-0.5149362332199884	-0.4756888361867825	0.05855768206199976	0.06305023254264364	-0.6322266490558495
-0.5261485153725194	-0.4596612531403705	0.0598536868222406	0.046424383361939575	-0.40335867453803764
-0.5378868273437712	-0.4441690851957176	0.0608693137336595	0.032908422521223314	-0.3542342766353048
-0.5483832900242235	-0.4312798067913055	0.061539256290286316	0.023788235043884554	-0.3298273143661978
-0.5594228405856454	-0.4186106409448269	0.06205911764638202	0.016947470328507977	-0.32981731542319404
-0.5693343259474328	-0.4079431751510696	0.062412539761243564	0.013020228112591186	-0.35189410340181715
-0.5793984834182246	-0.39774247987524836	0.06270802683737059	0.011032272693312712	-0.3912976449036092
-0.5892185065094707	-0.3883635221330778	0.06297887842328194	0.010937139198332743	-0.4509783713155414
-0.5991820571325407	-0.3784135979939968	0.06325809970509522	0.01050256379209771	-0.5294455166352697
-0.6081067703887063	-0.36566717954687983	0.06341299561743534	0.0023659309963213145	-0.6077351740047613
-0.6174344683672479	-0.3524286997775181	0.06337064841620815	-0.005178707965571188	-0.5945637047082291
-0.6260879940885883	-0.340378506747204	0.06316465395204546	-0.010985027699708935	-0.5831554657898255
-0.6341154565066809	-0.329061268484803	0.06283703495684088	-0.016092120145034944	-0.5789333626159315
-0.642191906493997	-0.31753715053055864	0.06237117151536252	-0.020960301459487744	-0.5730289439898093
